search_request_id,search_request_created_at,estimated_duration,estimated_distance
e7046acc-8528-411f-996b-366d1c07b918,2022-12-21T01:06:49Z,3300,24627
01f36a5c-540b-484b-a656-295a8f4cc9ff,2022-12-21T01:31:01Z,3095,22451
60cfb87a-3753-49fe-aa85-0ff61ef83898,2022-12-21T00:03:59Z,2821,22906
8dcdf5b3-b022-4092-a444-4020e7b52c7c,2022-12-21T00:07:44Z,844,4367
03e01f26-5c4a-4c32-859f-ee24c445942c,2022-12-21T00:08:29Z,845,4370
1e2f5b75-c704-4a07-ba68-b65da7f0833b,2022-12-21T00:08:48Z,805,3144
c940929b-52ed-417e-bd32-c1bb19acf7a5,2022-12-21T00:12:27Z,878,5521
acea7017-4d44-41f4-b966-288b4678e3dd,2022-12-21T00:38:33Z,1335,7209
f5ca347f-500c-4b44-9b7c-2ab8b20d6f8a,2022-12-21T00:40:08Z,1335,7209
0b2aa917-064a-4082-8b64-5891030b96af,2022-12-21T00:40:59Z,1333,7203
6a903adf-1c4c-449c-9f2d-94532e94fd41,2022-12-21T00:45:26Z,1219,6254
df61ab4a-1998-447f-9b98-ccdb1700670f,2022-12-21T00:46:17Z,1333,7203
7a494859-c4e9-409a-9c5b-d2268144121f,2022-12-21T00:51:32Z,590,2776
5cc17cd2-10e7-4f78-8baa-eab719908d57,2022-12-21T00:56:37Z,376,1689
b5931b83-b65b-4a5b-898e-5b752b404dbb,2022-12-21T00:57:08Z,1394,11206
55046344-241b-4f44-a694-10b9cc44a88e,2022-12-21T01:01:30Z,1293,10327
51f5dc3e-64af-493c-8a36-c93b368195dc,2022-12-21T01:02:12Z,1293,10327
4734449e-26e0-49ff-ba68-4a0d3438d36b,2022-12-21T01:02:42Z,3301,24632
7f754494-5166-417b-9c79-235126764131,2022-12-21T01:02:53Z,1293,10327
fbef1100-c0c4-44f2-9a1d-6f980594a223,2022-12-21T01:03:02Z,256,987
a9738c54-f617-412c-9e27-bee91ea0b604,2022-12-21T01:03:59Z,1293,10327
bda91102-4754-446d-be67-8fb19d4f4f49,2022-12-21T01:05:47Z,2216,11755
c5180d9e-56f9-4595-8f13-6348f20c7bd3,2022-12-21T01:05:57Z,3299,24626
d2e57717-a3b4-449d-98b2-19e5f37d32da,2022-12-21T01:25:11Z,3095,22451
c5c332e7-2e68-4313-9492-4fa45aa16617,2022-12-21T01:27:56Z,3095,22451
bfa85fe7-f9e7-4700-8a7a-d490d6bf0f70,2022-12-21T01:41:22Z,3346,18530
7f64071c-9a15-4a4b-94e1-bec9c13bcc9a,2022-12-21T01:48:04Z,1267,6900
9f5c7b88-54b7-4a86-9a1c-ae8f85b6b4f8,2022-12-21T02:02:52Z,715,3124
673c849b-3b49-4bc6-9f3a-c310f07fb1dd,2022-12-21T02:03:49Z,714,3121
8c0a22b1-e2f5-4da8-a3c0-560e5142f48c,2022-12-21T02:23:25Z,1155,7381
9a3f1c80-0e9a-4654-85d3-2828b02de19c,2022-12-21T03:07:53Z,419,1678
b41fa931-0338-4f95-a4bf-696b695e63c3,2022-12-21T03:22:53Z,1120,7353
43c0331f-db22-467e-bbf1-597a2e9cbe8f,2022-12-21T03:26:26Z,2927,18639
48d4f4d2-5ad2-4008-a674-b905c636b6dd,2022-12-21T01:09:05Z,3463,19925
3157152d-3019-45b0-9c1b-4fa754ae3b13,2022-12-21T01:10:19Z,3464,19928
93d3e646-df17-4931-a4c1-79226c8a50f9,2022-12-21T01:11:56Z,1305,10361
d6d071a5-4ea4-4159-8c66-21def2921bc6,2022-12-21T01:12:38Z,1305,10361
c2d43b54-5a04-42ae-b8ad-67ab88014215,2022-12-21T01:17:27Z,186,1102
f0fddeb6-96ee-4402-a77f-b5a6ff2108d2,2022-12-21T01:18:08Z,186,1100
c71227c1-5c89-41f3-a824-643d10e86bf0,2022-12-21T01:18:08Z,306,1232
8befd2dc-462e-4955-b19b-6fc32e71b6fe,2022-12-21T01:18:19Z,2299,12340
550f726b-3428-4f10-b64b-7bbd65ad0cc0,2022-12-21T01:18:51Z,186,1100
